,Title,Year,fandom,Media
478,HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN 2ND SEASONASCENDANCE OF A BOOKWORM SEASON 2,2020,Ascendance of a Bookworm,Anime
514,HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN 3RD SEASONASCENDANCE OF A BOOKWORM SEASON 3,2022,Ascendance of a Bookworm,Anime
235,AZUMANGA DAIOH,1999,Azumanga Daioh,Manga
592,AZUMANGA DAIOU THE ANIMATIONAZUMANGA DAIOH: THE ANIMATION,2002,Azumanga Daioh,Anime
1159,AZUMANGA DAIOH: HOSHUU-HEN,2009,Azumanga Daioh,Manga
2583,ITOU JUNJI KYOUFU HAKUBUTSUKAN 10: SHIBITO NO KOIWAZURAI (LOVESICKNESS: JUNJI ITO STORY COLLECTION),,Azur Lane,Manga
8374,ITAZURA MAJOKO NO DAIBOUKEN (THE BIG ADVENTURES OF MAJOKO),,Azur Lane,Manga
2533,ITAZURA NA KISS,1990,Azur Lane,Manga
1718,ITOU JUNJI KYOUFU MANGA COLLECTION 15: SHIBITO NO KOIWAZURAI,1996,Azur Lane,Manga
4719,RYUU NO HANAWAZURAI (TWO FLOWERS FOR THE DRAGON),2005,Azur Lane,Manga
2412,SAKURANBO SYNDROME - CUPID NO ITAZURA II,2006,Azur Lane,Manga
2085,ITAZURA NA KISSITAKISS,2008,Azur Lane,Anime
8211,"KONO S WO, MI YO! - CUPID NO ITAZURA",2009,Azur Lane,Manga
9610,HATSUKOI NO ITAZURA,2011,Azur Lane,Manga
1178,KOIWAZURAI NO ELLIE (LOVESICK ELLIE),2015,Azur Lane,Manga
3218,AZUR LANE: QUEEN'S ORDERS,2018,Azur Lane,Manga
4654,AZUR LANE: BISOKU ZENSHIN!,2018,Azur Lane,Manga
5539,AZUR LANE COMIC ANTHOLOGY,2018,Azur Lane,Manga
6834,"HAZUREWAKU NO ""JOUTAI IJOU SKILL"" DE SAIKYOU NI NATTA ORE GA SUBETE WO JUURIN SURU MADE (FAILURE FRAME: I BECAME THE STRONGEST AND ANNIHILATED EVERYTHING WITH LOW-LEVEL SPELLS)",2018,Azur Lane,Manga
7995,"HAZURE SKILL ""MAPPING"" WO TE NI SHITA SHOUNEN WA SAIKYOU PARTY TO DUNGEON NI IDOMU (MAPPING: THE TRASH-TIER SKILL THAT GOT ME INTO A TOP-TIER PARTY)",2018,Azur Lane,Manga
9415,"HAZURE SKILL ""KAGE GA USUI"" WO MOTSU GUILD SHOKUIN GA, JITSU WA DENSETSU NO ANSATSUSHA (HAZURE SKILL: THE GUILD MEMBER WITH A WORTHLESS SKILL IS ACTUALLY A LEGENDARY ASSASSIN)",2019,Azur Lane,Manga
8282,ABYSS AZURE NO ZAININ (A SINNER OF THE DEEP SEA),2020,Azur Lane,Manga
4050,AZUR LANE: BISOKU ZENSHIN!AZUR LANE: SLOW AHEAD!,2021,Azur Lane,Anime
617,BOKU NO HERO ACADEMIA (MY HERO ACADEMIA),2014,BNHA,Manga
805,BOKU NO HERO ACADEMIAMY HERO ACADEMIA,2016,BNHA,Anime
1557,BOKU NO HERO ACADEMIA: YUUEI HAKUSHO (MY HERO ACADEMIA: SCHOOL BRIEFS),2016,BNHA,Manga
2250,VIGILANTE: BOKU NO HERO ACADEMIA ILLEGALS (MY HERO ACADEMIA: VIGILANTES),2016,BNHA,Manga
492,BOKU NO HERO ACADEMIA 2ND SEASONMY HERO ACADEMIA SEASON 2,2017,BNHA,Anime
576,BOKU NO HERO ACADEMIA 3RD SEASONMY HERO ACADEMIA SEASON 3,2018,BNHA,Anime
6155,BOKU NO HERO ACADEMIA: ALL MIGHT:RISING (MY HERO ACADEMIA: ALL MIGHT RISING),2018,BNHA,Manga
7278,BOKU NO HERO ACADEMIA THE MOVIE: FUTARI NO HERO,2018,BNHA,Manga
771,BOKU NO HERO ACADEMIA 4TH SEASONMY HERO ACADEMIA SEASON 4,2019,BNHA,Anime
776,BOKU NO HERO ACADEMIA THE MOVIE: HEROES:RISING (MY HERO ACADEMIA THE MOVIE: HEROES:RISING),2019,BNHA,Manga
6160,BOKU NO HERO ACADEMIA: TEAM UP MISSION (MY HERO ACADEMIA: TEAM-UP MISSIONS),2019,BNHA,Manga
2257,BOKU NO HERO ACADEMIA 5TH SEASONMY HERO ACADEMIA SEASON 5,2021,BNHA,Anime
234,BOKU NO HERO ACADEMIA 6TH SEASONMY HERO ACADEMIA SEASON 6,2022,BNHA,Anime
126,BACCANO!,2003,Baccano,Manga
5581,BACCANO! 1931 THE GRAND PUNK RAILROAD,2006,Baccano,Manga
199,BACCANO!,2007,Baccano,Anime
83,BANANA FISH,1985,Banana Fish,Manga
413,PRIVATE OPINION: BANANA FISH ANOTHER STORY,1995,Banana Fish,Manga
140,BANANA FISH,2018,Banana Fish,Anime
5356,BANG DREAM!,2016,Bang Dream,Manga
4105,BANG DREAM!,2017,Bang Dream,Anime
2339,BANG DREAM!: GIRLS BAND PARTY! - ROSELIA STAGE,2017,Bang Dream,Manga
1434,BANG DREAM! 2ND SEASON,2019,Bang Dream,Anime
570,BANG DREAM! 3RD SEASON,2020,Bang Dream,Anime
307,BANG DREAM! IT'S MYGO!!!!!,2023,Bang Dream,Anime
361,BEASTARS,2016,Beastars,Manga
889,BEASTARS,2019,Beastars,Anime
979,BEASTARS 2ND SEASON,2021,Beastars,Anime
9459,BEATLESS,2011,Beatles,Manga
0,BERSERK,1989,Berserk,Manga
141,BERSERK: SHINEN NO KAMI 2,1996,Berserk,Manga
91,KENPUU DENKI BERSERKBERSERK,1997,Berserk,Anime
5212,BOUSHOKU NO BERSERK: ORE DAKE LEVEL TO IU GAINEN WO TOPPA SURU (BERSERK OF GLUTTONY),2017,Berserk,Manga
795,BERSERK: OUGON JIDAI-HEN - MEMORIAL EDITIONBERSERK: THE GOLDEN AGE ARC - MEMORIAL EDITION,2022,Berserk,Anime
203,KUROSHITSUJI (BLACK BUTLER),2006,Black Butler,Manga
1282,KUROSHITSUJIBLACK BUTLER,2008,Black Butler,Anime
3449,KUROSHITSUJI IIBLACK BUTLER II,2010,Black Butler,Anime
522,KUROSHITSUJI: BOOK OF CIRCUSBLACK BUTLER: BOOK OF CIRCUS,2014,Black Butler,Anime
1074,BLACK CLOVER,2015,Black Clover,Manga
3634,BLACK CLOVER: ABAREUSHI NO SHO,2016,Black Clover,Manga
420,BLACK CLOVER,2017,Black Clover,Anime
6600,BLACK CLOVER: KISHIDAN NO SHO,2017,Black Clover,Manga
5947,BLACK CLOVER GAIDEN: QUARTET KNIGHTS,2018,Black Clover,Manga
1077,BLEACH,2001,Bleach,Manga
701,BLEACH,2004,Bleach,Anime
3864,BLEACH: LETTERS FROM THE OTHER SIDE,2004,Bleach,Manga
7613,TSUREZURE NICHIJOU EKOTOBA COLOURFUL BLEACH,2004,Bleach,Manga
2515,BLEACH: THE HONEY DISH RHAPSODY,2006,Bleach,Manga
7393,GEKIJOUBAN BLEACH: MEMORIES OF NOBODY,2006,Bleach,Manga
2670,BLEACH UNMASKED SHORT STORIES,2011,Bleach,Manga
1154,BLEACH: SPIRITS ARE FOREVER WITH YOU,2012,Bleach,Manga
2751,BLEACH: THE DEATH SAVE THE STRAWBERRY,2012,Bleach,Manga
1706,BLEACH: WE DO KNOT ALWAYS LOVE YOU,2016,Bleach,Manga
284,BLEACH: CAN'T FEAR YOUR OWN WORLD,2017,Bleach,Manga
1170,BLEACH: GOKUI MEIMEI-HEN (BLEACH: SPECIAL ONE-SHOT),2021,Bleach,Manga
7,BLEACH: SENNEN KESSEN-HENBLEACH: THOUSAND-YEAR BLOOD WAR,2022,Bleach,Anime
51,BLEACH: SENNEN KESSEN-HEN - KETSUBETSU-TANBLEACH: THOUSAND-YEAR BLOOD WAR - THE SEPARATION,2023,Bleach,Anime
62,YAGATE KIMI NI NARU (BLOOM INTO YOU),2015,Bloom Into You,Manga
754,YAGATE KIMI NI NARUBLOOM INTO YOU,2018,Bloom Into You,Anime
145,YAGATE KIMI NI NARU: SAEKI SAYAKA NI TSUITE (BLOOM INTO YOU: REGARDING SAEKI SAYAKA),2018,Bloom Into You,Manga
3220,YAGATE KIMI NI NARU: KOUSHIKI COMIC ANTHOLOGY (BLOOM INTO YOU ANTHOLOGY),2018,Bloom Into You,Manga
117,BLUE LOCK,2018,Blue Lock,Manga
259,BLUE LOCK,2022,Blue Lock,Anime
744,BLUE LOCK: EPISODE NAGI,2022,Blue Lock,Manga
75,BLUE PERIOD,2017,Blue Period,Manga
926,BLUE PERIOD,2021,Blue Period,Anime
1941,HITORIBOCCHI WA SAMISHIKUTE (IT'S LONELY TO BE BY MYSELF),2008,Bocchi the Rock,Manga
3340,HITORIBOCCHI NO CHIKYUU SHINRYAKU,2012,Bocchi the Rock,Manga
598,HITORIBOCCHI NO ○○ SEIKATSU,2013,Bocchi the Rock,Manga
6646,BOCCHI NA BOKURA NO RENAI JIJOU,2013,Bocchi the Rock,Manga
5369,BOCCHI HAKASE TO ROBOT SHOUJO NO ZETSUBOUTEKI UTOPIA,2016,Bocchi the Rock,Manga
288,BOCCHI THE ROCK!,2017,Bocchi the Rock,Manga
1619,BOCCHI KAIBUTSU TO MOUMOKU SHOUJO (BEAUTY AND THE BEAST GIRL),2017,Bocchi the Rock,Manga
8947,FUTARIBOCCHI SENSOU (WAR FOR JUST THE TWO OF US),2017,Bocchi the Rock,Manga
8269,HITORIBOCCHI NO ISEKAI KOURYAKU (LONER LIFE IN ANOTHER WORLD),2018,Bocchi the Rock,Manga
1852,HITORIBOCCHI NO MARUMARU SEIKATSU,2019,Bocchi the Rock,Anime
3286,AO HADA KYONYUU TO KUSO BOCCHI,2021,Bocchi the Rock,Manga
28,BOCCHI THE ROCK!,2022,Bocchi the Rock,Anime
6758,DOUKA ORE WO HANATTEOITE KURE: NAZEKA BOCCHI NO OWATTA KOUKOU SEIKATSU WO KANOJO GA KAEYOU TO SHITEKURU,2022,Bocchi the Rock,Manga
7429,BOCCHI THE ROCK! ANTHOLOGY COMIC,2022,Bocchi the Rock,Manga
1428,BOCCHI THE ROCK! GAIDEN: HIROI KIKURI NO FUKAZAKE NIKKI,2023,Bocchi the Rock,Manga
3309,BORUTO: NARUTO THE MOVIE,2015,Boruto,Manga
7606,BORUTO: NARUTO THE MOVIE TOKUBETSU BANGAI-HEN - NARUTO GA HOKAGE NI NATTA HI,2015,Boruto,Manga
7108,BORUTO: NARUTO NEXT GENERATIONS NOVEL,2017,Boruto,Manga
685,BORUTO: TWO BLUE VORTEX,2023,Boruto,Manga
131,BUNGOU STRAY DOGS (BUNGO STRAY DOGS),2012,Bungou Stray Dogs,Manga
363,BUNGOU STRAY DOGS WAN! (BUNGO STRAY DOGS: WAN!),2015,Bungou Stray Dogs,Manga
371,BUNGOU STRAY DOGS 2ND SEASONBUNGO STRAY DOGS 2,2016,Bungou Stray Dogs,Anime
917,BUNGOU STRAY DOGSBUNGO STRAY DOGS,2016,Bungou Stray Dogs,Anime
4114,BUNGOU STRAY DOGS KOUSHIKI ANTHOLOGY: REI (BUNGOU STRAY DOGS OFFICIAL ANTHOLOGY: REI),2016,Bungou Stray Dogs,Manga
1481,BUNGOU STRAY DOGS GAIDEN: AYATSUJI YUKITO VS. KYOUGOKU NATSUHIKO (BUNGO STRAY DOGS: ANOTHER STORY),2017,Bungou Stray Dogs,Manga
4124,BUNGOU STRAY DOGS KOUSHIKI ANTHOLOGY: HANA (BUNGOU STRAY DOGS OFFICIAL ANTHOLOGY: HANA),2017,Bungou Stray Dogs,Manga
423,BUNGOU STRAY DOGS: DEAD APPLE (BUNGO STRAY DOGS: DEAD APPLE),2018,Bungou Stray Dogs,Manga
3830,BUNGOU STRAY DOGS KOUSHIKI ANTHOLOGY: RIN (BUNGOU STRAY DOGS OFFICIAL ANTHOLOGY: RIN),2018,Bungou Stray Dogs,Manga
345,BUNGOU STRAY DOGS 3RD SEASONBUNGO STRAY DOGS 3,2019,Bungou Stray Dogs,Anime
67,BUNGOU STRAY DOGS: BEAST (BUNGO STRAY DOGS: BEAST),2019,Bungou Stray Dogs,Manga
3151,BUNGOU STRAY DOGS KOUSHIKI ANTHOLOGY: AKATSUKI (BUNGOU STRAY DOGS OFFICIAL ANTHOLOGY: AKATSUKI),2019,Bungou Stray Dogs,Manga
633,BUNGOU STRAY DOGS WAN!BUNGO STRAY DOGS WAN!,2021,Bungou Stray Dogs,Anime
1538,"BUNGOU STRAY DOGS: DAZAI, CHUUYA, JUUGOSAI (BUNGO STRAY DOGS: DAZAI, CHUUYA, AGE FIFTEEN)",2022,Bungou Stray Dogs,Manga
66,BUNGOU STRAY DOGS 5TH SEASONBUNGO STRAY DOGS 5,2023,Bungou Stray Dogs,Anime
149,BUNGOU STRAY DOGS 4TH SEASONBUNGO STRAY DOGS 4,2023,Bungou Stray Dogs,Anime
236,CARDCAPTOR SAKURA,1996,CCS,Manga
390,CARDCAPTOR SAKURA,1998,CCS,Anime
2853,CARDCAPTOR SAKURA EXTRAS,1998,CCS,Manga
561,-HEN (CARDCAPTOR SAKURA: CLEAR CARD),2016,CCS,Manga
1274,CARDCAPTOR SAKURA: CLEAR CARD-HENCARDCAPTOR SAKURA: CLEAR CARD,2018,CCS,Anime
8852,CLAMP NO KISEKI,,CLAMP,Manga
4836,CLAMP GAKUEN TANTEIDANCLAMP SCHOOL DETECTIVES,1997,CLAMP,Anime
5769,CLAMP IN WONDERLAND EX,?,CLAMP,Manga
5324,22-26: FUJIMOTO TATSUKI TANPENSHUU (TATSUKI FUJIMOTO BEFORE CHAINSAW MAN: 22-26),2014,CSM,Manga
7618,17-21: FUJIMOTO TATSUKI TANPENSHUU (TATSUKI FUJIMOTO BEFORE CHAINSAW MAN: 17–21),2014,CSM,Manga
44,CHAINSAW MAN,2018,CSM,Manga
1121,CHAINSAW MAN: BUDDY STORIES,2021,CSM,Manga
115,CHAINSAW MAN,2022,CSM,Anime
2791,CODE NAME WA  (SAILOR V),1997,Call of Duty,Manga
56,CODE GEASS: HANGYAKU NO LELOUCHCODE GEASS: LELOUCH OF THE REBELLION,2006,Call of Duty,Anime
2159,CODE GEASS: HANGYAKU NO LELOUCH (CODE GEASS: LELOUCH OF THE REBELLION),2006,Call of Duty,Manga
5901,CODE GEASS: HANGYAKU NO LELOUCH KOUSHIKI COMIC ANTHOLOGY FOR GIRLS - KNIGHT (CODE GEASS: KNIGHT),2007,Call of Duty,Manga
7550,CODE GEASS: HANGYAKU NO LELOUCH KOUSHIKI COMIC ANTHOLOGY FOR BOYS - QUEEN (CODE GEASS: QUEEN),2007,Call of Duty,Manga
7900,CODE GEASS: NIGHTMARE OF NUNNALLY,2007,Call of Duty,Manga
19,CODE GEASS: HANGYAKU NO LELOUCH R2CODE GEASS: LELOUCH OF THE REBELLION R2,2008,Call of Duty,Anime
2092,TETSUWAN BIRDY DECODEBIRDY THE MIGHTY: DECODE,2008,Call of Duty,Anime
2338,CODE GEASS: HANGYAKU NO LELOUCH R2,2008,Call of Duty,Manga
3198,CODE:BREAKER (CØDE:BREAKER),2008,Call of Duty,Manga
9527,OUT CODE: CHOUJOU HANZAI TOKUMU SOUSAKAN,2008,Call of Duty,Manga
1171,TETSUWAN BIRDY DECODE:02BIRDY THE MIGHTY: DECODE 02,2009,Call of Duty,Anime
9439,KINGDOM HEARTS RE:CODED,2011,Call of Duty,Manga
2839,CODA,2012,Call of Duty,Manga
9444,CODE GEASS: BOUKOKU NO AKITO (CODE GEASS: AKITO THE EXILED),2013,Call of Duty,Manga
4636,FUTSUU NO JOSHIKOUSEI GA [LOCODOL] YATTEMITA.LOCODOL,2014,Call of Duty,Anime
8040,CODE GEASS: SOUBOU NO OZ O2 (CODE GEASS: OZ THE REFLECTION O2),2014,Call of Duty,Manga
1854,SHIGATSU WA KIMI NO USO: CODA,2015,Call of Duty,Manga
2128,HATARAKU SAIBOU BLACK (CELLS AT WORK! CODE BLACK),2018,Call of Duty,Manga
6461,CODE GEASS: HANGYAKU NO LELOUCH RE; (CODE GEASS: LELOUCH OF THE REBELLION RE;),2018,Call of Duty,Manga
1739,HATARAKU SAIBOU BLACKCELLS AT WORK! CODE BLACK!,2021,Call of Duty,Anime
9487,CODE: LEVIATHAN,?,Call of Duty,Manga
3367,CASTLEVANIA: CURSE OF DARKNESS,2006,Castlevania,Manga
989,30-SAI MADE DOUTEI DATO MAHOUTSUKAI NI NARERU RASHII (CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD?!),2018,Cherry Magic,Manga
797,KAIJUU NO KODOMO (CHILDREN OF THE SEA),2005,Children of the Sea,Manga
3904,CHOUJIN X,2021,Choujin X,Manga
466,MIRAI SHOUNEN CONANFUTURE BOY CONAN,1978,Conan,Anime
313,MEITANTEI CONAN (CASE CLOSED),1994,Conan,Manga
402,MEITANTEI CONANCASE CLOSED,1996,Conan,Anime
2080,MEITANTEI CONAN (DETECTIVE CONAN),2005,Conan,Manga
6733,MEITANTEI CONAN: HANNIN NO HANZAWA-SAN,2017,Conan,Manga
3297,MEITANTEI CONAN: ZERO NO TEA TIME (DETECTIVE CONAN: ZERO'S TEA TIME),2018,Conan,Manga
1237,MEITANTEI CONAN: KEISATSU GAKKOU-HEN - WILD POLICE STORY,2019,Conan,Manga
4536,MEITANTEI CONAN: ZERO NO TEA TIMEDETECTIVE CONAN: ZERO'S TEA TIME,2022,Conan,Anime
4870,MEITANTEI CONAN: HANNIN NO HANZAWA-SANDETECTIVE CONAN: THE CULPRIT HANZAWA,2022,Conan,Anime
8101,DETECTIVE CONAN TOKUBETSU-HEN,?,Conan,Manga
3963,CORRECTOR YUI,1999,Corrector Yui,Anime
44,COWBOY BEBOP,1998,Cowboy Bebop,Anime
6517,COWBOY BEBOP,1999,Cowboy Bebop,Manga
385,CROWS,1998,Crows,Manga
3677,CROWS GAIDEN,1998,Crows,Manga
4378,SONOGO NO CROWS (CROWS: THE AFTERMATH),1999,Crows,Manga
2192,CROWS ZERO,2008,Crows,Manga
1994,CROWS ZERO II: SUZURAN X HOUSEN,2012,Crows,Manga
8793,CROWS GAIDEN: KATAGIRI KEN MONOGATARI,2014,Crows,Manga
1331,D4DJ FIRST MIX,2020,D4DJ,Anime
4244,D4DJ PETIT MIX,2021,D4DJ,Anime
2138,D4DJ ALL MIX,2023,D4DJ,Anime
236,CARDCAPTOR SAKURA,1996,DC,Manga
390,CARDCAPTOR SAKURA,1998,DC,Anime
2853,CARDCAPTOR SAKURA EXTRAS,1998,DC,Manga
9211,CULDCEPT,1999,DC,Manga
6130,DCD (DIAMOND CUT DIAMOND),2009,DC,Manga
561,-HEN (CARDCAPTOR SAKURA: CLEAR CARD),2016,DC,Manga
2989,HARDCORE LEVELING WARRIOR,2016,DC,Manga
1274,CARDCAPTOR SAKURA: CLEAR CARD-HENCARDCAPTOR SAKURA: CLEAR CARD,2018,DC,Anime
4911,HELL MODE: YARIKOMIZUKI NO GAMER WA HAI SETTEI NO ISEKAI DE MUSOU SURU (HELL MODE: THE HARDCORE GAMER DOMINATES IN ANOTHER WORLD WITH GARBAGE BALANCING),2020,DC,Manga
2962,DEVIL MAY CRY,2002,DMC,Manga
7037,DEVIL MAY CRY 3,2005,DMC,Manga
694,DETROIT METAL CITY (DMC: DETROIT METAL CITY),2005,DMC,Manga
4362,DEVIL MAY CRY,2007,DMC,Anime
6835,DEVIL MAY CRY 4: DEADLY FORTUNE,2009,DMC,Manga
1265,DEVIL MAY CRY 5: VISIONS OF V,2019,DMC,Manga
5450,DEVIL MAY CRY 5: BEFORE THE NIGHTMARE,2019,DMC,Manga
1123,DEBUT OR DIE!,2022,DMJ,Manga
9867,DRAMATICAL MURDER ANTHOLOGY,2012,DMMD,Manga
3947,SHOUJO KAKUMEI UTENA: ADOLESCENCE MOKUSHIROKU (REVOLUTIONARY GIRL UTENA: THE ADOLESCENCE OF UTENA),,DOL,Manga
7872,KEKKON KOKOROE (MILLION DOLLAR MEN),,DOL,Manga
439,ADOLF NI TSUGU (MESSAGE TO ADOLF),1982,DOL,Manga
4193,IDOL DENSETSU ERIKOLEGENDARY IDOL ERIKO,1989,DOL,Anime
7515,DOLL,1996,DOL,Manga
3066,PLANTS DOLL (DOLLS),1999,DOL,Manga
2816,KIDOU TENSHI ANGELIC LAYERBATTLE DOLL ANGELIC LAYER,2001,DOL,Anime
4513,"ZONE OF THE ENDERS: DOLORES, IZONE OF THE ENDERS: DOLORES",2001,DOL,Anime
1871,: IC IN A DOLL (DOLL),2002,DOL,Manga
4457,VAMPIRE DOLL: GUILT-NA-ZAN,2002,DOL,Manga
9766,FAIRY IDOL KANON,2003,DOL,Manga
3257,CHARISMA DOLL,2004,DOL,Manga
5613,ICHIGEKI SACCHUU!! HOIHOI-SAN (INTERCEPTOR-DOLL HOIHOI-SAN),2004,DOL,Manga
2068,DOLLS,2005,DOL,Manga
3800,AKUMA TO DOLCE,2005,DOL,Manga
8305,IDOL-SAMA NO YORU NO OKAO,2005,DOL,Manga
7546,KAMISAMA DOLLS,2006,DOL,Manga
8352,DOLLGUN,2006,DOL,Manga
8538,RUBY DOLL,2006,DOL,Manga
6409,HIMEKEI♥DOLL,2007,DOL,Manga
6665,HANGED DOLL,2007,DOL,Manga
1614,PUCHIMAS!: PETIT IDOLM@STER,2008,DOL,Manga
1795,SHOUNEN DOLLS,2008,DOL,Manga
9718,DOLL STAR: KOTODAMA TSUKAI IHON,2008,DOL,Manga
1918,MACHINE-DOLL WA KIZUTSUKANAI (UNBREAKABLE MACHINE-DOLL),2009,DOL,Manga
4062,HIME CHEN! OTOGI CHIKKU IDOL LILPRISPELLBOUND! MAGICAL PRINCESS LILPRI,2010,DOL,Anime
2328,MACHINE-DOLL WA KIZUTSUKANAI,2010,DOL,Manga
1406,THE IDOLM@STER,2011,DOL,Anime
4151,KAMISAMA DOLLS,2011,DOL,Anime
4769,HIME CHEN! OTOGI CHIKKU IDOL LILPRI (2011)SPELLBOUND! MAGICAL PRINCESS LILPRI,2011,DOL,Anime
6798,THE IDOLM@STER 2: THE WORLD IS ALL ONE!!,2011,DOL,Manga
8626,THE IDOLM@STER 2: COLORFUL DAYS,2011,DOL,Manga
2279,THE IDOLM@STER,2012,DOL,Manga
5523,RUDOLF TURKEY,2012,DOL,Manga
7648,SONG OF THE DOLL,2012,DOL,Manga
8433,HOUKAGO IDOL,2012,DOL,Manga
8949,"SUGAR GIRL, SUGAR DOLL",2012,DOL,Manga
2114,LOVE LIVE! SCHOOL IDOL PROJECT,2013,DOL,Anime
3943,MACHINE-DOLL WA KIZUTSUKANAIUNBREAKABLE MACHINE-DOLL,2013,DOL,Anime
2927,LOVE LIVE! SCHOOL IDOL DIARY,2013,DOL,Manga
7345,31☆IDREAM (IDOL DREAMS),2013,DOL,Manga
8562,SENYUU.: FOYFOY/RUDOLF-HEN - MOGURA TO OASIS,2013,DOL,Manga
9639,HIME-DOL!!,2013,DOL,Manga
1006,LOVE LIVE! SCHOOL IDOL PROJECT 2ND SEASONLOVE LIVE! SCHOOL IDOL PROJECT 2,2014,DOL,Anime
4636,FUTSUU NO JOSHIKOUSEI GA [LOCODOL] YATTEMITA.LOCODOL,2014,DOL,Anime
1859,THE IDOLM@STER MILLION LIVE!,2014,DOL,Manga
2936,DURARARA!! RE;DOLLARS-HEN (DURARARA!! RE;DOLLARS ARC),2014,DOL,Manga
8724,DOLLY♥KILL KILL (DOLLY KILL KILL),2014,DOL,Manga
2406,THE IDOLM@STER CINDERELLA GIRLS 2ND SEASON,2015,DOL,Anime
3346,THE IDOLM@STER CINDERELLA GIRLS,2015,DOL,Anime
1822,TOARU IDOL NO ACCELERATOR-SAMA,2015,DOL,Manga
6434,"OSHI GA BUDOUKAN ITTEKURETARA SHINU (IF MY FAVORITE POP IDOL MADE IT TO THE BUDOKAN, I WOULD DIE)",2015,DOL,Manga
6631,IDOLISH7,2015,DOL,Manga
2915,IDOLISH7: TRIGGER - BEFORE THE RADIANT GLORY,2016,DOL,Manga
3325,THE IDOLM@STER CINDERELLA GIRLS: U149,2016,DOL,Manga
4229,IDOLISH7: RYUUSEI NI INORU,2016,DOL,Manga
2452,IDOL TIME PRIPARA,2017,DOL,Anime
3492,THE IDOLM@STER SIDEM,2017,DOL,Anime
2307,IDOLISH7: RE:MEMBER,2017,DOL,Manga
4946,ASAYAKE WA KOGANEIRO: THE IDOLM@STER,2017,DOL,Manga
1195,IDOLISH7,2018,DOL,Anime
4287,BACK STREET GIRLS: GOKUDOLLSBACK STREET GIRLS: GOKUDOLS,2018,DOL,Anime
745,SONO BISQUE DOLL WA KOI WO SURU (MY DRESS-UP DARLING),2018,DOL,Manga
2756,SAYONARA MINISKIRT (NOT YOUR IDOL),2018,DOL,Manga
423,IDOLISH7 SECOND BEAT!,2020,DOL,Anime
1783,LOVE LIVE! NIJIGASAKI GAKUEN SCHOOL IDOL DOUKOUKAILOVE LIVE! NIJIGASAKI HIGH SCHOOL IDOL CLUB,2020,DOL,Anime
2049,"OSHI GA BUDOUKAN ITTEKURETARA SHINUIF MY FAVORITE POP IDOL MADE IT TO THE BUDOKAN, I WOULD DIE",2020,DOL,Anime
9188,"OTAKU TOMO GA KARESHI NI NATTARA, SAIKOU, KAMO SHIRENAI (HAVING AN IDOL-LOVING BOYFRIEND IS THE BEST!)",2020,DOL,Manga
314,IDOLISH7 THIRD BEAT!,2021,DOL,Anime
2083,IDOLY PRIDE,2021,DOL,Anime
5323,NETOGE NO YOME GA NINKI IDOL DATTA: COOL-KEI NO KANOJO WA GENJITSU DEMO YOME NO TSUMORI DE IRU (MY WIFE IN THE WEB GAME IS A POPULAR IDOL.),2021,DOL,Manga
224,IDOLISH7 THIRD BEAT! PART 2,2022,DOL,Anime
333,SONO BISQUE DOLL WA KOI WO SURUMY DRESS-UP DARLING,2022,DOL,Anime
1218,LOVE LIVE! NIJIGASAKI GAKUEN SCHOOL IDOL DOUKOUKAI 2ND SEASONLOVE LIVE! NIJIGASAKI HIGH SCHOOL IDOL CLUB SEASON 2,2022,DOL,Anime
3594,PRIMA DOLL,2022,DOL,Anime
5144,IDOL X IDOL STORY!,2022,DOL,Manga
7251,TENSEI IDOL TO DOL-OTA NO KISHI (REINCARNATION IDOL & IDOL FREAK KNIGHT),2022,DOL,Manga
7740,HOUKAGO NO IDOL NI WA HIMITSU GA ARU,2022,DOL,Manga
1178,THE IDOLM@STER CINDERELLA GIRLS: U149,2023,DOL,Anime
4373,THE IDOLM@STER MILLION LIVE!,2023,DOL,Anime
3181,DAMEDOL TO SEKAI NI HITORI DAKE NO FAN (DAMEDOL AND THE ONLY FAN IN THE WORLD),2023,DOL,Manga
3628,IDOL SHOPPING,8 to,DOL,Manga
7325,BAKUSOU!! PLATINUM IDOL,?,DOL,Manga
318,DANDADAN,2021,Dandadan,Manga
1675,DANGANRONPA/ZERO,2011,Danganronpa,Manga
9617,DANGANRONPA: KIBOU NO GAKUEN TO ZETSUBOU NO KOUKOUSEI,2011,Danganronpa,Manga
4285,SUPER DANGANRONPA 2: CHOU KOUKOU-KYUU NO KOUUN TO KIBOU TO ZETSUBOU (DANGANRONPA 2: ULTIMATE LUCK AND HOPE AND DESPAIR),2012,Danganronpa,Manga
4544,SUPER DANGANRONPA 2: SAYONARA ZETSUBOU GAKUEN (DANGANRONPA 2: GOODBYE DESPAIR),2012,Danganronpa,Manga
6979,SUPER DANGANRONPA 2: SAYONARA ZETSUBOU GAKUEN - 4-KOMA KINGS,2012,Danganronpa,Manga
8669,"SUPER DANGANRONPA 2: DANGAN ISLAND KOKORO TOKONATSU, KOKORONPA♪",2012,Danganronpa,Manga
