,Title,Year,fandom,Media
7258,SHAMAN KING: THE SUPER STAR,2018,Shaman King,Manga
6471,SHAMAN KING & A GARDEN,2020,Shaman King,Manga
9559,SHAMAN KING: MARCOS,2020,Shaman King,Manga
4600,SHAMAN KING (2021),2021,Shaman King,Anime
954,": KUSOGE HUNTER, KAMIGE NI IDOMAN TO SU (SHANGRI-LA FRONTIER)",2020,Shangri-La Frontier,Manga
632,"SHANGRI-LA FRONTIER: KUSOGE HUNTER, KAMIGE NI IDOMAN TO SUSHANGRI-LA FRONTIER",2023,Shangri-La Frontier,Anime
820,CRAYON SHIN-CHAN (CRAYON SHINCHAN),0 to,Shinchan,Manga
929,SHOKUGEKI NO SOUMA (FOOD WARS!: SHOKUGEKI NO SOMA),2012,Shokugeki no Souma,Manga
2601,SHOKUGEKI NO SOUMA: À LA CARTE,2014,Shokugeki no Souma,Manga
419,SHOKUGEKI NO SOUMAFOOD WARS! SHOKUGEKI NO SOMA,2015,Shokugeki no Souma,Anime
3283,SHOKUGEKI NO SOUMA: L'ÉTOILE,2015,Shokugeki no Souma,Manga
5511,SHOKUGEKI NO SOUMA: FRATELLI ALDINI,2015,Shokugeki no Souma,Manga
507,SHOKUGEKI NO SOUMA: NI NO SARAFOOD WARS! THE SECOND PLATE,2016,Shokugeki no Souma,Anime
607,SHOKUGEKI NO SOUMA: SAN NO SARAFOOD WARS! THE THIRD PLATE,2017,Shokugeki no Souma,Anime
677,SHOKUGEKI NO SOUMA: SAN NO SARA - TOOTSUKI RESSHA-HENFOOD WARS! THE THIRD PLATE: TOTSUKI TRAIN ARC,2018,Shokugeki no Souma,Anime
1084,SHOKUGEKI NO SOUMA: SHIN NO SARAFOOD WARS! THE FOURTH PLATE,2019,Shokugeki no Souma,Anime
2530,SHOKUGEKI NO SOUMA: GOU NO SARAFOOD WARS! THE FIFTH PLATE,2020,Shokugeki no Souma,Anime
1588,SHUGO CHARA!,2005,Shugo Chara,Manga
2162,SHUGO CHARA!,2007,Shugo Chara,Anime
2086,SHUGO CHARA!! DOKI,2008,Shugo Chara,Anime
7786,SHUGO CHARA-CHAN! (SHUGO CHARA CHAN!),2008,Shugo Chara,Manga
2244,PLAWRES SANSHIROUPLASTIC MODEL WRESTLING SANSHIRO,1983,Skip and Loafer,Anime
1274,WHISTLE!,1998,Skip and Loafer,Manga
2213,WHISTLE!,2002,Skip and Loafer,Anime
2463,H³ SCHOOL (HAPPY HUSTLE HIGH),2003,Skip and Loafer,Manga
5754,RYUUGUUDEN (CASTLE OF THE DRAGON),2005,Skip and Loafer,Manga
3367,CASTLEVANIA: CURSE OF DARKNESS,2006,Skip and Loafer,Manga
3389,JOUKAMACHI NO DANDELIONCASTLE TOWN DANDELION,2015,Skip and Loafer,Anime
902,TANAKA-KUN WA ITSUMO KEDARUGETANAKA-KUN IS ALWAYS LISTLESS,2016,Skip and Loafer,Anime
866,MAOUJOU DE OYASUMI (SLEEPY PRINCESS IN THE DEMON CASTLE),2016,Skip and Loafer,Manga
596,KAGAMI NO KOJOU (LONELY CASTLE IN THE MIRROR),2017,Skip and Loafer,Manga
102,SKIP TO LOAFER (SKIP AND LOAFER),2018,Skip and Loafer,Manga
3988,CASTLE,2019,Skip and Loafer,Manga
644,MAOUJOU DE OYASUMISLEEPY PRINCESS IN THE DEMON CASTLE,2020,Skip and Loafer,Anime
447,SKIP TO LOAFERSKIP AND LOAFER,2023,Skip and Loafer,Anime
1880,SOUTEN NO KEN (FIST OF THE BLUE SKY),1 to,Sky,Manga
7132,TEN NO TAKA (SKY HAWK),2,Sky,Manga
5751,SKYHIGH,2001,Sky,Manga
4192,SKYHIGH: SHINSHOU,2003,Sky,Manga
4991,SKYHIGH: KARMA,2003,Sky,Manga
7555,EREMENTAR GERAD: AOZORA NO SENKI (EREMENTAR GERADE: FLAG OF BLUESKY),2003,Sky,Manga
7058,SORAIRO KAIGAN (SKYBLUE SHORE),2006,Sky,Manga
4138,SKY GIRLS,2007,Sky,Anime
3479,AOZORA YELL (YELL FOR THE BLUE SKY),2008,Sky,Manga
4832,GETENROU (SKYGRAZER),2008,Sky,Manga
8315,STRIKE WITCHES: TENKUU NO OTOME-TACHI (STRIKE WITCHES: MAIDENS OF THE SKY),2008,Sky,Manga
3922,SORA NO MANIMANIAT THE MERCY OF THE SKY,2009,Sky,Anime
4133,STRIKE WITCHES: KIMI TO TSUNAGARU SORA (STRIKE WITCHES: THE SKY THAT CONNECTS US),2009,Sky,Manga
8418,SORAIRO GIRLFRIEND (SKY-COLORED GIRLFRIEND),2009,Sky,Manga
1655,SO RA NO WO TOSOUND OF THE SKY,2010,Sky,Anime
6000,HANZA SKY,2010,Sky,Manga
6960,STARRY☆SKY: COMIC ANTHOLOGY - AFTER SEASON,2010,Sky,Manga
7449,SKY BLUE,2010,Sky,Manga
7866,SKYHIGH 4,2010,Sky,Manga
5496,ZELDA NO DENSETSU: SKYWARD SWORD (THE LEGEND OF ZELDA: SKYWARD SWORD),2011,Sky,Manga
1634,DISTANT SKY,2014,Sky,Manga
2401,GUNJOU NO SUBETE (MY ULTRAMARINE SKY),2014,Sky,Manga
4572,ASEBI TO SORA SEKAI NO BOUKENSHA (ASEBI AND ADVENTURERS OF SKY WORLD),2014,Sky,Manga
1319,NEJIMAKI SEIREI SENKI: TENKYOU NO ALDERAMINALDERAMIN ON THE SKY,2016,Sky,Anime
8766,SORAIRO FLUTTER (THAT BLUE SKY FEELING),2017,Sky,Manga
2178,"HOSHIZORA NO SHITA, KIMI NO KOE DAKE WO DAKISHIMERU (I HOLD ONLY YOUR VOICE, UNDER THE STARRY SKY.)",2018,Sky,Manga
6080,BU TIAN GE (SONG OF THE SKY PACERS),2018,Sky,Manga
4335,HEI NO NAKA NO BIYOUSHITSU (THE DEPTH OF THE SKY),2020,Sky,Manga
6842,YAKUSOKU NO NEVERLAND: TOKUBETSU BANGAI-HEN - JIJYUU NO SORA WO MOTOMETE (THE PROMISED NEVERLAND: SPECIAL SIDE STORY - SEEKING THE SKY OF FREEDOM),2020,Sky,Manga
3173,HOSHIZORA WO MITSUMETA SONO ATO DE (AFTER WE GAZED AT THE STARRY SKY),2021,Sky,Manga
6374,SORA KARA ONNANOKO GA! (A GIRL FROM THE SKY),2021,Sky,Manga
