,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
796,GENSHIN IMPACT,"NEW JEANS, DEMON SLAYER, ATARASHII GAKKO!, WITCH HAT ATELIER, ADVENTURE TIME, ATSV, YAMADA 999, MY HAPPY MARRIAGE, GENSHIN IMPACT, APOTHECARY DIARIES",Seafood 888,H-58ab,CF17,,https://www.instagram.com/seafoodelapan88/,https://twitter.com/seafooddelapan,,,RE
802,GENSHIN IMPACT,"IDENTITY V, JUJUTSU KAISER, VTUBER, ORIGINAL CHARACTER, KOREA, GAMES",Warung Si Oyen & Friends,I-04ab/I-05ab,CF17,,https://instagram.com/warungsioyen?igshid=MmU2YjMzNjRlOQ==,,,,RE
805,GENSHIN IMPACT,"JUJUTSU KAISEN, BLUE LOCK, HONKAI STAR RAIL, AVATAR THE LAST AIRBENDER, GENSHIN IMPACT, ONE PIECE, JOJO BIZZARE ADVENTURE, RESIDENT EVIL, CHAINSAW MAN, ORV, SCLASS, ARKNIGHTS, NIJISANJI, HAMTARO, SHOTO, TRIGUN STAMPEDE",Tooroo Space,I-08ab,CF17,,https://www.instagram.com/ruang.tooroo,,,,RE
808,GENSHIN IMPACT,"OMNISCIENT READER'S VIEWPOINT, HONKAI STAR RAIL, DEBUT OR DIE, LOOKISM, SLAM DUNK, JUJUTSU KAISEN, DETECTIVE CONAN, ETC.",ROMUSA,I-12ab,CF17,https://www.facebook.com/suu.clover.9,https://www.instagram.com/serbetmerah_/,https://twitter.com/serbetmerah,,,RE
816,GENSHIN IMPACT,"ATSV (SPIDERMAN ACROSS THE SPIDER VERSE), HOLOLIVE, NIJISANJI, BLUE LOCK, BREAKING BAD, HONKAI STAR RAIL, FGO, CARD CAPTOR SAKURA, PLAVE, STUDIO GHIBLI, ARCANE",Haluratorium,I-20ab,CF17,,https://www.instagram.com/mink_zzu/,https://twitter.com/Xaleeeeey,,,RE
817,GENSHIN IMPACT,"NIJISANJI, VTUBERS, HONKAI STAR RAIL, TOKYO REVENGERS, HYPNOSIS MICROPHONE, VOCALOID, ALCHEMY STARS",Kambing Goyang,I-21ab,CF17,,http://instagram.com/tempepetis,http://twitter.com/tempepetis,,,RE
836,GENSHIN IMPACT,"HONKAI: STAR RAIL, OMNISCIENT READER (ORV), VTUBER, HAIKYUU!!",TuruTuru,I-43ab,CF17,,https://www.instagram.com/zu_zhue/,https://twitter.com/zu_zhue,,,RE
839,GENSHIN IMPACT,"CSM, HSR, ONE PIECE, TRIGUN, TOT, PRECURE, DND, SLAM DUNK",Grass Bunny,I-46ab,CF17,,,https://twitter.com/grasssbunnny,,,RE
846,HONKAI STAR RAIL,"FIVE NIGHTS AT FREDDY'S, ORIGINAL CHARACTERS, GENSHIN IMPACT, NIJISANJI",AMBATUSELL,I-53a,CF17,,,,,,RE
862,HONKAI STAR RAIL,"TOUKEN RANBU, PROJECT SEKAI, LIMBUS COMPANY, GENSHIN IMPACT, NU CARNIVAL, UTAITE, SOUSOU NO FRIEREN, HOLOLIVE ID, NIJISANJI JP",Lipat Nemo,J-07a,CF17,,https://www.instagram.com/mpome_/,https://x.com/Mkpome_,,,RE
